Benchmark,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: bufferSize,Param: inputFile,Param: nbRows,Param: quoted,Param: wrapWithBufferedReader
JavaCsvParser,avgt,1,50,1769503.493,12203.74967,us/op,,./worldcitiespop.txt,1000000,TRUE,FALSE
JavaCsvParser,avgt,1,50,1504618.325,6773.239055,us/op,,./worldcitiespop.txt,1000000,FALSE,FALSE
JavaCsvParser,avgt,1,50,5613036.502,26041.96957,us/op,,./worldcitiespop.txt,3173959,TRUE,FALSE
JavaCsvParser,avgt,1,50,4806283.528,22147.72931,us/op,,./worldcitiespop.txt,3173959,FALSE,FALSE
OpenCsvParser,avgt,1,50,22.75489718,0.168657142,us/op,,./worldcitiespop.txt,1,TRUE,FALSE
OpenCsvParser,avgt,1,50,21.65469033,0.106047469,us/op,,./worldcitiespop.txt,1,FALSE,FALSE
OpenCsvParser,avgt,1,50,41.30881419,0.127451446,us/op,,./worldcitiespop.txt,10,TRUE,FALSE
OpenCsvParser,avgt,1,50,33.81895291,0.198119021,us/op,,./worldcitiespop.txt,10,FALSE,FALSE
OpenCsvParser,avgt,1,50,231.367165,0.318918593,us/op,,./worldcitiespop.txt,100,TRUE,FALSE
OpenCsvParser,avgt,1,50,149.2413515,3.414230864,us/op,,./worldcitiespop.txt,100,FALSE,FALSE
OpenCsvParser,avgt,1,50,2020.682968,31.51917661,us/op,,./worldcitiespop.txt,1000,TRUE,FALSE
OpenCsvParser,avgt,1,50,1396.743854,44.34536034,us/op,,./worldcitiespop.txt,1000,FALSE,FALSE
OpenCsvParser,avgt,1,50,18658.58601,28.68631166,us/op,,./worldcitiespop.txt,10000,TRUE,FALSE
OpenCsvParser,avgt,1,50,12959.21759,11.08791505,us/op,,./worldcitiespop.txt,10000,FALSE,FALSE
OpenCsvParser,avgt,1,50,189861.0877,2464.084637,us/op,,./worldcitiespop.txt,100000,TRUE,FALSE
OpenCsvParser,avgt,1,50,133597.684,3391.956732,us/op,,./worldcitiespop.txt,100000,FALSE,FALSE
OpenCsvParser,avgt,1,50,1857790.985,8006.332271,us/op,,./worldcitiespop.txt,1000000,TRUE,FALSE
OpenCsvParser,avgt,1,50,1304542.008,34057.35764,us/op,,./worldcitiespop.txt,1000000,FALSE,FALSE
OpenCsvParser,avgt,1,50,5969062.925,61008.9309,us/op,,./worldcitiespop.txt,3173959,TRUE,FALSE
OpenCsvParser,avgt,1,50,4156496.276,113853.7631,us/op,,./worldcitiespop.txt,3173959,FALSE,FALSE
OsterMillerParser,avgt,1,50,23.94742803,0.062167911,us/op,,./worldcitiespop.txt,1,TRUE,FALSE
OsterMillerParser,avgt,1,50,23.60596067,0.100882173,us/op,,./worldcitiespop.txt,1,FALSE,FALSE
OsterMillerParser,avgt,1,50,41.54139558,0.178849551,us/op,,./worldcitiespop.txt,10,TRUE,FALSE
OsterMillerParser,avgt,1,50,35.74685813,0.121329146,us/op,,./worldcitiespop.txt,10,FALSE,FALSE
OsterMillerParser,avgt,1,50,212.5728702,0.331481758,us/op,,./worldcitiespop.txt,100,TRUE,FALSE
OsterMillerParser,avgt,1,50,157.7736252,0.202749176,us/op,,./worldcitiespop.txt,100,FALSE,FALSE
OsterMillerParser,avgt,1,50,1796.829725,5.29699758,us/op,,./worldcitiespop.txt,1000,TRUE,FALSE
OsterMillerParser,avgt,1,50,1555.742543,6.114663151,us/op,,./worldcitiespop.txt,1000,FALSE,FALSE
OsterMillerParser,avgt,1,50,18045.74368,34.05882434,us/op,,./worldcitiespop.txt,10000,TRUE,FALSE
OsterMillerParser,avgt,1,50,14918.43915,38.90286004,us/op,,./worldcitiespop.txt,10000,FALSE,FALSE
OsterMillerParser,avgt,1,50,183739.9043,281.3260128,us/op,,./worldcitiespop.txt,100000,TRUE,FALSE
OsterMillerParser,avgt,1,50,151041.9904,553.8561934,us/op,,./worldcitiespop.txt,100000,FALSE,FALSE
OsterMillerParser,avgt,1,50,1801485.561,9535.286123,us/op,,./worldcitiespop.txt,1000000,TRUE,FALSE
OsterMillerParser,avgt,1,50,1484759.665,10463.54593,us/op,,./worldcitiespop.txt,1000000,FALSE,FALSE
OsterMillerParser,avgt,1,50,5831664.221,48611.78462,us/op,,./worldcitiespop.txt,3173959,TRUE,FALSE
OsterMillerParser,avgt,1,50,4746388.14,23050.96665,us/op,,./worldcitiespop.txt,3173959,FALSE,FALSE
SimpleCsvParser,avgt,1,50,22.51297758,0.095478915,us/op,,./worldcitiespop.txt,1,TRUE,FALSE
SimpleCsvParser,avgt,1,50,22.39170457,0.157240468,us/op,,./worldcitiespop.txt,1,FALSE,FALSE
SimpleCsvParser,avgt,1,50,40.03743004,0.104958657,us/op,,./worldcitiespop.txt,10,TRUE,FALSE
SimpleCsvParser,avgt,1,50,36.33916302,0.100869127,us/op,,./worldcitiespop.txt,10,FALSE,FALSE
SimpleCsvParser,avgt,1,50,217.323991,0.252772798,us/op,,./worldcitiespop.txt,100,TRUE,FALSE
SimpleCsvParser,avgt,1,50,177.1796383,0.244354484,us/op,,./worldcitiespop.txt,100,FALSE,FALSE
SimpleCsvParser,avgt,1,50,1787.302817,4.730259018,us/op,,./worldcitiespop.txt,1000,TRUE,FALSE
SimpleCsvParser,avgt,1,50,1387.694227,5.16385102,us/op,,./worldcitiespop.txt,1000,FALSE,FALSE
SimpleCsvParser,avgt,1,50,19384.61952,46.48245373,us/op,,./worldcitiespop.txt,10000,TRUE,FALSE
SimpleCsvParser,avgt,1,50,13706.26571,407.6669763,us/op,,./worldcitiespop.txt,10000,FALSE,FALSE
SimpleCsvParser,avgt,1,50,200927.0986,359.1733594,us/op,,./worldcitiespop.txt,100000,TRUE,FALSE
SimpleCsvParser,avgt,1,50,167896.9634,559.7582662,us/op,,./worldcitiespop.txt,100000,FALSE,FALSE
SimpleCsvParser,avgt,1,50,1965590.723,3539.255003,us/op,,./worldcitiespop.txt,1000000,TRUE,FALSE
SimpleCsvParser,avgt,1,50,1641417.612,9466.176037,us/op,,./worldcitiespop.txt,1000000,FALSE,FALSE
SimpleCsvParser,avgt,1,50,6284008.833,57382.68264,us/op,,./worldcitiespop.txt,3173959,TRUE,FALSE
SimpleCsvParser,avgt,1,50,5221632.459,9931.820502,us/op,,./worldcitiespop.txt,3173959,FALSE,FALSE
SimpleFlatMapperParser,avgt,1,50,21.08301528,0.124597313,us/op,,./worldcitiespop.txt,1,TRUE,FALSE
SimpleFlatMapperParser,avgt,1,50,20.97077672,0.155747663,us/op,,./worldcitiespop.txt,1,FALSE,FALSE
SimpleFlatMapperParser,avgt,1,50,31.96264737,0.294365739,us/op,,./worldcitiespop.txt,10,TRUE,FALSE
SimpleFlatMapperParser,avgt,1,50,27.70389959,0.0921789,us/op,,./worldcitiespop.txt,10,FALSE,FALSE
SimpleFlatMapperParser,avgt,1,50,104.0006297,0.263247859,us/op,,./worldcitiespop.txt,100,TRUE,FALSE
SimpleFlatMapperParser,avgt,1,50,92.9156577,0.188698889,us/op,,./worldcitiespop.txt,100,FALSE,FALSE
SimpleFlatMapperParser,avgt,1,50,1027.171011,10.29382782,us/op,,./worldcitiespop.txt,1000,TRUE,FALSE
SimpleFlatMapperParser,avgt,1,50,890.446994,63.57580935,us/op,,./worldcitiespop.txt,1000,FALSE,FALSE
SimpleFlatMapperParser,avgt,1,50,12013.11538,156.5808773,us/op,,./worldcitiespop.txt,10000,TRUE,FALSE
SimpleFlatMapperParser,avgt,1,50,7425.588728,16.87656186,us/op,,./worldcitiespop.txt,10000,FALSE,FALSE
SimpleFlatMapperParser,avgt,1,50,100785.6646,477.3038594,us/op,,./worldcitiespop.txt,100000,TRUE,FALSE
