"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: inputFile","Param: nbRows","Param: quoted"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,27.643543077986177,0.12423179548568199,"us/op","./worldcitiespop.txt","1","true"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,27.660231399763585,0.1282746631519529,"us/op","./worldcitiespop.txt","1","false"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,42.16290087848155,0.1998607563214713,"us/op","./worldcitiespop.txt","10","true"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,39.20776264935441,0.4056945943486157,"us/op","./worldcitiespop.txt","10","false"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,173.5750557955664,0.3312845312626868,"us/op","./worldcitiespop.txt","100","true"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,158.01171836279124,3.3692618444942903,"us/op","./worldcitiespop.txt","100","false"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,1804.1688160889646,28.781260796913102,"us/op","./worldcitiespop.txt","1000","true"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,1646.3492742882163,14.849213399434392,"us/op","./worldcitiespop.txt","1000","false"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,16104.011408843568,194.97843432411565,"us/op","./worldcitiespop.txt","10000","true"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,15942.44274250103,53.58873665014404,"us/op","./worldcitiespop.txt","10000","false"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,160612.80359785716,2018.3895628385558,"us/op","./worldcitiespop.txt","100000","true"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,133668.19345916668,1074.8805970205653,"us/op","./worldcitiespop.txt","100000","false"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,1582857.26686,28832.63937773011,"us/op","./worldcitiespop.txt","1000000","true"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,1300374.39832,19936.381390572464,"us/op","./worldcitiespop.txt","1000000","false"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,4521.076961461011,20.538162362075436,"us/op","./worldcitiespop.txt","1","true"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,4487.971562204996,20.361016029598794,"us/op","./worldcitiespop.txt","1","false"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,4485.186461454133,16.584378908171907,"us/op","./worldcitiespop.txt","10","true"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,4497.06686416688,20.581284294764085,"us/op","./worldcitiespop.txt","10","false"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,4598.652033821365,21.307324935058457,"us/op","./worldcitiespop.txt","100","true"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,4625.426536540839,22.726943058708063,"us/op","./worldcitiespop.txt","100","false"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,6035.136162571824,30.026975133265452,"us/op","./worldcitiespop.txt","1000","true"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,5941.804557810981,31.70108760597142,"us/op","./worldcitiespop.txt","1000","false"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,20257.900437212127,104.41983638633492,"us/op","./worldcitiespop.txt","10000","true"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,18479.398971595263,91.20193019190526,"us/op","./worldcitiespop.txt","10000","false"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,154483.1551482143,1428.618083383978,"us/op","./worldcitiespop.txt","100000","true"
